"a" "b" "sigma2"
-0.000390154364473483 0.992435248424624 0.0226585365051021
-0.000557731276123364 0.985276560421052 0.0231983322192334
0.00449097799143761 0.995589970043695 0.0233231453262025
0.00128828952338932 0.981113916960162 0.0228657088683328
-0.00192282242993281 0.996584683419546 0.0227681799494901
0.00358984979418358 0.982505232305107 0.0218503746513983
0.00987325053873284 0.974421695822263 0.0219864603323877
0.0107129087753498 0.993410645831974 0.0213663283376216
-0.0103079391703986 0.983917866332584 0.0214194221731508
-0.0054282162863996 0.992304005555832 0.0218071936477684
-0.00235998572601764 0.9870448092531 0.0218139158770641
0.000929430613595679 0.985131544432194 0.0236988419544089
-0.000708383426903675 0.979994808549026 0.0244024541463782
0.00199977830981729 0.982395948840499 0.0249534593303855
-0.003332432076678 0.994744038250536 0.0246623548055249
-0.00490592264323161 0.98342644338009 0.0218291965675029
-0.00503608558174475 0.983517625463161 0.0204419556303872
0.00561703216415945 0.993243914207737 0.0231371614416639
-0.00825651687968379 0.98556140305398 0.0244330188974664
0.00532479350764543 0.989885680659017 0.0226112678920345
-0.0047934350077469 0.985617288740261 0.0233792243097635
-0.0047934350077469 0.985617288740261 0.0233792243097635
0.00697818157005679 0.993597722131444 0.0232794478899248
0.00918312300790844 0.98473300026534 0.0218435542952743
0.00329486640978389 0.986754877097794 0.0214288411794284
0.00670251309420179 0.985364652229898 0.0229016005862228
-0.00885341865900095 0.988412998230038 0.0236852439827612
4.37396171038256e-05 0.982644461631929 0.0239977910913635
0.00822085739923867 0.985981705115972 0.0229189534554387
0.00502475484758455 0.983278202520736 0.0225195888542901
-0.00258311392047272 0.992522354156594 0.0216210299957955
0.0030662991153909 0.984454786872507 0.0218914316173871
-0.00295177905351087 0.995680454300099 0.0224444694126878
0.00403593136793386 0.979568335750268 0.0230981516637121
-0.00723926411137461 0.99509267673377 0.0231137942904351
-0.0159596732345674 0.977696321337779 0.0250881817897788
0.0123025723740727 0.996180212652404 0.0228485397037168
-0.00226200847498449 0.983755457278822 0.02228227753424
-0.00242269538723246 0.995102343089653 0.0217344695320101
-0.00254923101852364 0.985330633508881 0.0214184388971531
0.00762208480559933 0.97982120424197 0.0210416053212099
-0.00126735547567285 0.97319061285206 0.02059209715666
-0.00254507425957449 0.987316100997329 0.021127916474766
0.00201743402674475 0.990031478448006 0.021640429262254
0.00133540902229247 0.988306203000533 0.0235523615830074
0.00287162769349874 0.985720081419373 0.0225006431620926
0.00149640195718348 0.994746810359162 0.0228256864554282
-0.000696259332024251 0.981594945454319 0.0234707913570326
0.00114242002946456 0.990936466447782 0.0227539881063486
-0.00220749654546143 0.982950824238264 0.02283452618217
-0.00644369275842434 0.982071335338439 0.0234228239071092
0.00650498860784187 0.995298070477519 0.0212760938874899
0.00354927176171782 0.993890399911073 0.0245366795382944
0.0141555601056431 0.99141230614852 0.0251641745149486
0.000875777764250255 0.985119423433792 0.0216894501327277
-0.000466099791679959 0.996282230954002 0.0227093345799174
0.00578498072276864 0.986955810159932 0.0230098793354166
-0.00607417866766164 0.986109156861858 0.0209227127267243
0.00722301399496092 0.992209713889392 0.0221208348205209
-0.00353005803591764 0.980003139751717 0.0221504329281824
0.00224414394037737 0.996931414102329 0.0219973142069499
-0.00846794929843716 0.976236482578829 0.0198519465506405
0.00796992233004729 0.99806180787262 0.0204600693493823
-0.00219351303074435 0.983350635939933 0.0202192128300563
-0.000813877778733561 0.984971323514359 0.0203177418243372
-0.00635403233965068 0.993592427818323 0.0202181405283187
0.00334673155082046 0.988419363099855 0.0229616532215423
-0.00767441552440364 0.98541398291806 0.0234583922112507
0.0126347366208718 0.991540135529358 0.0215207244061277
0.0022654745183201 0.99125478800946 0.0220473166367486
0.00716621998646556 1.00059972422066 0.0240025223025668
-0.00373995961606399 0.989250403369446 0.0241197223826305
0.00529934398757363 0.985739178078456 0.0240361369911525
0.00501979585255341 0.994081110806892 0.0236844325851026
-0.00515233684930519 0.991132120678831 0.0235933213345085
-0.0094214689349737 1.00139853981664 0.022054497077406
-0.00706549667929755 0.998151801329275 0.0225884383636882
0.00912443321984113 0.990387804641015 0.0229874967154131
-0.00632724054471092 0.982044543275982 0.022532365145667
0.00561421288794304 0.990549791163878 0.0221701741082064
-0.0107708079348851 0.991475478017302 0.0216865920538351
-0.0131905038959318 0.980271328191494 0.0231893922879133
0.0103376730826108 1.00254450602788 0.0213623934668028
-0.00928996331443362 0.972905399837621 0.0214956743331902
0.00843164347618963 1.00614160376277 0.0229961793986483
0.00387008904818578 1.00080750814398 0.0239165997036504
0.00447841538907768 0.978842249532017 0.0224764516122474
-0.00318615352588524 0.986684161612565 0.0236765272065456
0.00129846880334775 0.988423943237115 0.0195446588988441
-0.00441505056226397 0.981829077589486 0.0212219871107767
-0.00538170986460084 0.980986001324887 0.0212210100669909
0.00204058537203832 0.993808558034553 0.0235512227958671
-0.00701551651256103 0.982414580882428 0.0227454976560058
-0.00432967896786216 0.986881612459019 0.0224875074827684
0.00442197861227162 0.985932559107945 0.02363087530034
-0.00524324653629504 0.994346461256908 0.0221942096646488
-0.00497613775080132 0.986087675940157 0.0246741662875317
-0.00528008295037828 0.994796720133681 0.0241922451430126
0.000581510199114867 0.98848434227791 0.0226012530061442
0.00289513797232754 0.993846767930264 0.0226738389106778
0.000188757689974507 0.982940938867865 0.0224237880475217
-0.00452337128353562 0.998330925191551 0.0222934388855457
0.00217112387247422 0.993742506810887 0.0213140297989973
-0.0012254806070331 0.979853630659357 0.0246106607782493
-0.00285631107466156 0.995982963105801 0.0239458082054138
-0.0112072098094261 0.996552202777038 0.0239129392986387
-0.00783186578756622 0.983836885690349 0.0223667570035067
0.00933394226008931 0.993275789204701 0.022217171965376
0.00499189159637544 0.975126813199391 0.0203024461389393
0.0111560790606297 0.983167265409182 0.0195164467205966
-0.00244571282402779 0.985104513250185 0.0213281166467129
0.00811880506600122 0.992629021991608 0.0219417384890309
-0.0122612506234894 0.987775354320587 0.0219611850581785
0.00980596290725743 0.985215302476506 0.0242054155044484
-0.00620411439434134 0.99327864573151 0.0219826057350439
0.00348847043017543 0.990714174022046 0.0216414785591523
-0.00356654476042749 0.987024426349549 0.0244185151034906
-0.00216544371981726 0.982475450702255 0.0213837092162022
0.00112537690464483 0.992296946375055 0.0222550238864464
0.00601382581345856 0.979933127414225 0.0208057026726197
-0.00765761198662075 0.984826510903809 0.0211803086393032
0.00791932182423445 0.993125162178701 0.0223265923851844
0.016047403469008 0.989813403668642 0.0208427435472029
-0.00737880404128366 0.989961625879032 0.0208165681583294
-0.00744681635241248 0.989148251643971 0.0210382037366852
0.00608543112256807 0.988229559711754 0.023813662304225
-0.00382825924613294 0.998751625703971 0.0222081756019237
0.00253723700783823 0.989713377089046 0.022679283517309
0.00569997369370353 0.980424453004269 0.0226226769945803
