"a" "b" "c" "sigma2"
-0.127580003308675 0.991522582668957 0.122074883435125 0.0107840603817009
-0.122116175227102 0.994247183255788 0.128114604138527 0.0105714779866965
-0.120442170155035 0.995536579614587 0.12605079837948 0.0119696123364432
-0.124513626203107 0.989723427025554 0.120649874125825 0.0113685167968853
-0.122408311788557 0.986416512915192 0.126458606351476 0.0111150012941237
-0.120707987115141 0.989555519371178 0.121068982619251 0.0106923007754531
-0.116574802392907 0.991020772599457 0.123122371976288 0.0105839079170581
-0.121550450568272 0.992579768798105 0.119013904174518 0.0117120222525607
-0.114203314256689 0.990937385092328 0.115693851812897 0.0107880477010533
-0.126838931858039 0.987462977627618 0.125884020020665 0.0110244288374271
-0.126087413098982 0.986126752005859 0.123024999078214 0.0110228965555482
-0.117077505545794 0.991137712375258 0.119965799214838 0.0103681655118442
-0.129573443113927 0.988046509699376 0.129488080524848 0.0111666610607665
-0.126773559747791 0.987377866721899 0.123688717105839 0.0111508788651199
-0.136756743609865 0.986136812091979 0.131910954241221 0.0115304433944024
-0.108762619052036 0.987834265219606 0.108301278038155 0.0105779791217783
-0.125344893992306 0.991983213828244 0.118609284762327 0.0124593751552203
-0.123122128317952 0.98805958212113 0.129427897064234 0.0121067935264802
-0.117358181984179 0.989389249385538 0.125202344133533 0.0112150547998883
-0.129793053197674 0.990003486914774 0.121185014970461 0.0111622560210302
-0.125201289836471 0.996187018702218 0.125314565991098 0.010784523048774
-0.121647292906508 0.982922848717517 0.118073673334559 0.0104314618595008
-0.119132057244777 0.985534929942555 0.120916126591646 0.0105753954331965
-0.121408979960995 0.992830194101626 0.117526089889961 0.0105167088663475
-0.113761237372579 0.993848401365706 0.122393191485237 0.0107941686253877
-0.126319041581325 0.98756417130075 0.124906068956314 0.0104777750901688
-0.117539868651634 0.994841083943423 0.121394857701252 0.0103980676489895
-0.128612043805498 0.983610856833151 0.128424181808101 0.0102519692082451
-0.112375245947042 0.9975548279611 0.11583523765609 0.0109410122798425
-0.119804204951819 0.995429341248049 0.121837036017034 0.0104534401620138
-0.116420106772404 0.99085659054624 0.115207536728253 0.0124572401132525
-0.122134235724051 0.989072456629448 0.128794687305022 0.0108137359789508
-0.120046960455058 0.987096016205258 0.123852359254879 0.0105728090658346
-0.129561993406436 0.985696248259258 0.12600172468657 0.0114363814679853
-0.127656412487055 0.985605807004463 0.124685441175772 0.0100080311819457
-0.120253967321303 0.997336889929545 0.12360308526205 0.0111414710957705
-0.120122517250047 0.994852052906881 0.123093342775837 0.0108060433991739
-0.117042534883879 0.986473028423987 0.121534191163873 0.0118836329685089
-0.114793907304798 0.992266930253248 0.120409072404467 0.010278594980226
-0.115082346806149 0.99384848329811 0.117960269062547 0.0100968754772608
-0.126395312483939 0.981810624087549 0.125045064994597 0.0113412053672612
-0.128186026563576 0.985974389228768 0.124739918477344 0.0113789947065138
-0.115265736603303 0.985817871777296 0.120288993005712 0.0103105109039235
-0.123910299611827 0.994707535519356 0.119799891466209 0.0105894031616932
-0.116471199823899 0.989711975898954 0.122119515297899 0.0111050907047037
-0.12323472832306 0.991526812720558 0.12241017754808 0.0104286004078622
-0.123582953727501 0.985458547223875 0.124002096279565 0.0110476472107929
-0.112354945906012 0.988289862283904 0.122235395283654 0.011223786384367
-0.110179464519197 0.99086902721716 0.111827703839259 0.0106190468836444
-0.113366585862268 0.996162760539133 0.120100434724888 0.011037930754272
-0.116043518911046 0.993183520816693 0.122759777121153 0.0111723172948044
-0.129222506315068 0.994336062772025 0.121297589337383 0.0109387330431511
-0.134103447635394 0.986799317005921 0.130140841050065 0.0105179222693071
-0.113678188899944 0.993099662759044 0.121249907162813 0.0116985140366137
-0.124062693546108 0.99162225999021 0.129861332554389 0.0100418071641776
-0.127662882900949 0.994337167413923 0.121223321511305 0.0102173548471885
-0.112827356817053 0.985270464620898 0.114736400432881 0.0107311595479372
-0.113475616362949 0.984102256924169 0.113789162584087 0.0107949873143616
-0.110880664932003 0.979970330979837 0.115680440891751 0.0109034212998709
-0.12273781810838 0.998799795053672 0.118334754595539 0.00995838704086298
-0.135539552566688 0.981576404813049 0.127029842008647 0.0105118480057264
-0.124899148555127 0.981090096686888 0.129845666908937 0.0104519853310543
-0.111236739877586 0.99524418099843 0.117263362100345 0.0108562302428451
-0.116313437889297 0.986133988070203 0.118138968808534 0.0108658590272222
-0.115849687125964 0.990881092394805 0.119759776228864 0.0109952665481209
-0.129524403444663 0.98901251219331 0.127544880729879 0.0110112671118228
-0.119349051076288 0.989203922918052 0.12153950384699 0.0113077078293669
-0.112984457285973 0.988421344029458 0.116195828672001 0.0114368664746187
-0.113768250674678 0.986557083790561 0.116871679042752 0.012935537792131
-0.114792603342762 0.989101754385972 0.119576840237988 0.0122123585955141
-0.115839944451867 0.990159275555252 0.115184483119268 0.0117264259541232
-0.128069339402703 0.995419098388441 0.131557353410801 0.012241937684695
-0.138328879942329 0.98894653384285 0.127408673049422 0.0117049298439187
-0.131029048831545 0.985270813389796 0.133727565140865 0.0113092338064091
-0.137949129869453 0.987610203764872 0.128202535500661 0.0113935872670202
-0.130614342491959 0.990952524579132 0.134867196325577 0.0114744068994417
-0.123058611439244 0.983798923134226 0.129350619394005 0.0101211017657881
-0.122054689720701 0.996227092312419 0.129094091153157 0.0111244121889032
-0.129331318602498 0.998504843780541 0.128462477024576 0.0110059863380151
-0.114292057310926 0.978210488301741 0.114693789795262 0.0119049888219407
-0.120852587221698 0.98754540503226 0.123443805679257 0.0120449301514306
-0.123423129617437 0.990346564934971 0.121744322038681 0.0117224342571501
-0.122879171493684 0.987470541928438 0.121673789138606 0.00945173940711928
-0.118144132198312 0.991039325452303 0.120418043546374 0.0102329191171114
-0.118336707707066 0.98453532232606 0.121939068990042 0.010858848566088
-0.118344002357054 0.988554840613827 0.120730980814733 0.0114347709230042
-0.121301741353964 0.990114967346676 0.122949167440992 0.0113253400727942
-0.127902385448994 0.990681980656381 0.120142843458115 0.0102435858605504
-0.12082272734121 0.992706527205832 0.124533671302977 0.0105023106264176
-0.127116318026453 0.997975210430975 0.12377891042085 0.0106415709648713
-0.131812220236995 0.987388888882537 0.131439814015646 0.0104627733406655
-0.136515208305941 0.992362657459515 0.128672480782809 0.0101854586294182
-0.131134196774042 0.992345948578537 0.128777023961873 0.0108637771113286
-0.129671593124799 0.994442711589677 0.127862032575355 0.0108816023544913
-0.11162834569868 0.987679505176817 0.116877533429999 0.0109687682003661
-0.114908183846115 0.991723663225065 0.11633305628498 0.0107136773553347
-0.12455078477222 0.986925659917354 0.123333858482077 0.0110102661468625
-0.126853957692941 0.985168281493479 0.124049415553659 0.0109143358331344
-0.121676891801611 0.991932631479007 0.125522955844031 0.0100858076174116
-0.126528086887298 0.987205700719121 0.121495586490378 0.0103005634607945
-0.117061709613024 0.99299344733097 0.122514229957949 0.0109804834263625
-0.117116126311092 0.992881626458834 0.118687701264311 0.0107316241642552
-0.126404185636974 0.987530158672386 0.124662505425221 0.0108748114041568
-0.125629338106434 0.989436460597628 0.1233231344656 0.0113885669641589
-0.122622529850303 0.99038081803213 0.124961339704942 0.0108903859076198
-0.130969956647002 0.986228186871417 0.123835480622921 0.0103019749190597
-0.12847745847833 0.989615478486978 0.128153825411042 0.00993376682749284
-0.123638558211035 0.987348112715062 0.123170361213601 0.0109336013193756
-0.115906118322196 0.994751601786565 0.11702726563354 0.0114421709748988
-0.120420907258793 0.984727731112258 0.122544273964923 0.0106176127625584
-0.118792693293709 0.994019598735317 0.121499807863821 0.0122115506040837
-0.121792325561131 0.996075350155737 0.122497837912038 0.0125060709836743
-0.119512230588116 0.994942713662096 0.119892552711998 0.0124779673920555
-0.109644124536651 0.984497133116271 0.11401391985521 0.010866295579838
-0.125007611990216 0.994782349827214 0.123853156591916 0.0110626639195371
-0.121003282910398 0.993136808291131 0.124870681710444 0.0108020996198533
-0.121020482480252 0.98666625193064 0.117766136192887 0.010297169778961
-0.122464141661739 0.984431051598895 0.120095854771449 0.0103980203638045
-0.114534669383621 0.991493041570422 0.11747922644583 0.0107979207217642
-0.130106365561881 0.991891998830971 0.12924852098244 0.0103740100944417
-0.134170290690412 0.991894588815414 0.128464796423307 0.0101746168849655
-0.128938978664939 0.990237602359512 0.125856250705892 0.0102520762671488
-0.126981525135347 0.986864424852135 0.127917357103527 0.00971587512386361
-0.118729962000064 0.992300025099155 0.119330986984766 0.0107386853306753
-0.120621769329127 0.986293548843994 0.122602467848372 0.0114464054731364
-0.127611930973466 0.992557587680584 0.124406745822604 0.0120820527361587
-0.117136401431166 0.988732489391355 0.123935825132674 0.0111107470745855
-0.117773591874411 0.987076523072463 0.124899955349475 0.0110890098252119
-0.116220231054798 0.991954948996194 0.123193149651839 0.0114888333875319
-0.120029101817323 0.99271633066181 0.116494007868624 0.010757500635454
-0.113811254413962 0.990699432933877 0.121195119280077 0.0108532517902754
-0.126675804683436 0.98884678547675 0.121959513556198 0.0114169696420447
-0.12612035646 0.996232906070033 0.119457969389086 0.0108055493961537
-0.115569160133572 0.988683865416692 0.120925221654982 0.0114633406644897
-0.128230189821625 0.988472382281391 0.123392580493654 0.0105660565176119
-0.121853704912919 0.988810867329705 0.126942368253561 0.0107332968439563
-0.123341864065168 0.988491582693049 0.125555535016836 0.0115057023969336
-0.109214724576469 0.987700805008317 0.114304118182835 0.0104848335401267
-0.124529804960504 0.993370230633595 0.124135894793769 0.0118283566947523
-0.116795511507495 0.985748961178886 0.114582640069609 0.01103332438958
-0.127867814568056 0.989415688034836 0.121837391175172 0.0114411320027306
-0.117322289438367 0.991121326910366 0.121518837618074 0.0100756988430545
-0.117676589869505 0.985713676709451 0.115956823764953 0.00986164506318471
-0.113896563942511 0.99018701037522 0.119081385521991 0.00923956013550431
-0.115629560248402 0.989785594911944 0.11637549726065 0.0093571867282802
-0.117799331204505 0.987632813383325 0.120094924014433 0.0102020584432777
-0.126525666492126 0.989851895392616 0.124488146187659 0.011421604648829
-0.11499059839095 0.994711162448648 0.115042650814391 0.0113540416507575
-0.129294841490032 0.99536584896881 0.124274676386 0.00978452538512995
-0.114598303586824 0.993572598144002 0.120782149588062 0.012041490674017
-0.127936428051416 0.988750066037745 0.122848570248249 0.0101017551401533
-0.122173438196783 0.991846800952312 0.118167431485554 0.0112651565597267
-0.116187538163925 0.991128065941714 0.12080890873173 0.0111566528327213
-0.122356944903404 0.990762073855356 0.121855399219629 0.010989364993468
-0.112318659908404 0.993034033859077 0.113803089911957 0.0105125771758368
